,PrecinctID,Yes,No,Ballots,Turnout,prop,PYes,PNo
278,9141,158,226,409,46.32,I,0.411458333,0.588541667
75,7308,133,191,349,63.91,I,0.410493827,0.589506173
59,7048,188,270,476,29.63,I,0.410480349,0.589519651
14,1123,204,294,534,31.01,I,0.409638554,0.590361446
78,7313,294,424,787,52.12,I,0.409470752,0.590529248
197,7841,386,558,969,55.79,I,0.408898305,0.591101695
82,7319,270,392,696,45.14,I,0.407854985,0.592145015
36,7013,272,395,677,42.74,I,0.407796102,0.592203898
88,7329,281,409,771,54.99,I,0.407246377,0.592753623
20,1135,205,299,529,42.22,I,0.406746032,0.593253968
2,1102,319,466,817,46.74,I,0.406369427,0.593630573
323,9406,145,212,376,44.71,I,0.406162465,0.593837535
393,9751,170,250,448,50.8,I,0.404761905,0.595238095
214,7874,89,131,226,51.48,I,0.404545455,0.595454545
256,9102,154,227,402,47.51,I,0.404199475,0.595800525
187,7828,186,276,476,53.42,I,0.402597403,0.597402597
28,7001,108,161,284,45.23,I,0.401486989,0.598513011
208,7864,326,489,840,53.61,I,0.4,0.6
352,9503,88,132,232,38.09,I,0.4,0.6
270,9127,162,244,431,48.05,I,0.399014778,0.600985222
80,7317,177,267,468,55.84,I,0.398648649,0.601351351
351,9502,35,53,90,49.18,I,0.397727273,0.602272727
148,7632,101,153,256,40.57,I,0.397637795,0.602362205
21,1136,110,167,299,40.57,I,0.397111913,0.602888087
212,7871,184,280,475,56.89,I,0.396551724,0.603448276
102,7503,216,331,556,40.35,I,0.39488117,0.60511883
43,7024,15,23,39,13.98,I,0.394736842,0.605263158
179,7815,189,291,498,57.57,I,0.39375,0.60625
39,7018,251,389,680,39.26,I,0.3921875,0.6078125
275,9135,123,191,324,42.58,I,0.391719745,0.608280255
183,7822,378,588,986,56.47,I,0.391304348,0.608695652
345,9447,279,434,734,42.38,I,0.391304348,0.608695652
76,7309,124,194,329,45.37,I,0.389937107,0.610062893
282,9151,134,210,357,47.41,I,0.389534884,0.610465116
266,9122,291,457,784,45.09,I,0.389037433,0.610962567
93,7337,148,233,412,52.62,I,0.388451444,0.611548556
269,9126,318,502,856,47.55,I,0.387804878,0.612195122
49,7034,62,98,166,19.73,I,0.3875,0.6125
201,7847,348,554,926,53.52,I,0.385809313,0.614190687
274,9134,126,201,341,46.08,I,0.385321101,0.614678899
271,9128,248,397,668,45.78,I,0.384496124,0.615503876
341,9437,286,459,789,46.28,I,0.383892617,0.616107383
61,7052,175,282,477,40.32,I,0.382932166,0.617067834
189,7832,165,266,438,58.01,I,0.382830626,0.617169374
348,9452,297,481,825,48.41,I,0.381748072,0.618251928
74,7305,303,491,841,58,I,0.381612091,0.618387909
302,9231,163,265,452,48.65,I,0.380841121,0.619158879
166,7706,169,277,456,57.36,I,0.378923767,0.621076233
338,9432,122,200,341,40.64,I,0.378881988,0.621118012
140,7619,174,286,487,36.67,I,0.37826087,0.62173913
329,9418,237,391,654,45.23,I,0.377388535,0.622611465
60,7049,201,332,570,37.4,I,0.377110694,0.622889306
211,7867,327,541,889,53.17,I,0.376728111,0.623271889
